scenario,total_strategies,applied,warnings,errors,application_rate
01_awad_delivery_of_goods,15,14,6,1,93.33
02_de_masellis_loan_approval,12,10,5,2,83.33
03_elgammal_loan_approval,7,5,5,2,71.43
04_ghose_package_screening,3,3,0,0,100.0
05_loebbecke_blood_collection,3,3,3,0,100.0
06_BPMQ,14,14,14,0,100.0
07_CRL,12,9,0,3,75.0
08_DCR,4,4,0,0,100.0
09_HaarmannetAL2021,3,1,0,2,33.33
11_PCL,12,11,4,1,91.67
12_PPSL,13,12,5,1,92.31
13_Status,7,7,0,0,100.0
14_SunetAl24,10,9,0,1,90.0
15_WinteretAlER,6,6,0,0,100.0
16_Zasadaetal23,9,8,8,1,88.89
